jobid: 2656159.ifsched
node: iforge111
# CPUs: 20
time: Fri Jan 27 20:49:09 CST 2017
cmd: java ScalingTest 20000
ElapsedTime(s),Threads(#),%CPU,VmSize(kB),VmRSS(kB),rchar(bytes),wchar(bytes)
1485571749,25,99.8,34354160,1934980,2156424,8
1485571750,25,101.8,34354160,3174752,0,43
1485571751,25,99.8,34354160,3174752,0,0
1485571752,25,99.8,34354160,3174752,0,0
1485571753,25,99.8,34354160,3174752,0,0
1485571754,25,199.6,34354160,3174756,0,0
1485571755,25,199.7,34354160,3174556,1,0
1485571756,25,199.7,34354160,3174556,0,0
1485571757,25,199.6,34354160,3174556,0,0
1485571758,25,201.7,34354160,3174556,0,0
1485571759,25,201.6,34354160,3174556,0,0
1485571760,25,201.7,34354160,3174556,0,0
1485571761,25,652.8,34354160,6336596,37943,115
1485571762,25,99.8,34354160,10809576,0,0
1485571763,25,99.8,34354160,10860928,0,0
1485571764,25,103.8,34354160,10861272,0,0
1485571765,25,99.8,34354160,10861272,0,0
1485571766,25,99.8,34354160,12249828,1207,119
1485571767,25,99.8,34354160,13998820,3244,0
1485571768,25,97.8,34354160,17136356,0,0
1485571769,25,99.8,37492712,18771748,2338026,6354456
1485571770,25,99.8,40617716,21227156,0,0
1485571771,26,225.6,41969476,23390364,0,0
1485571772,28,1216.4,41969476,23390372,0,0
1485571773,45,1350.2,42080188,23564256,0,0
1485571774,27,1293.6,41987928,23413340,0,0
1485571775,27,1054.1,41969476,23409080,0,0
1485571776,25,149.7,41967424,23390368,0,0
1485571777,28,1870.7,41969476,23400708,0,0
1485571778,45,1900.4,42532096,24022536,0,0
1485571779,45,1900.6,42532096,24022536,0,0
1485571780,45,1900.6,42532096,24022536,0,0
1485571781,28,584.9,42013832,23462548,0,0
1485571782,25,535.1,41967424,23390368,0,0
1485571783,45,419.2,41969476,23391208,0,0
1485571784,28,1561.1,41969476,23413136,0,0
1485571785,45,851.1,41969476,23391176,0,0
1485571786,25,99.8,41967424,23390368,0,0
1485571787,25,99.8,41967424,23390368,0,0
1485571788,45,1994.1,41969476,23495128,0,0
1485571789,45,2000.6,41969476,23825696,0,0
1485571790,45,2001.6,41969476,23825696,0,0
1485571791,45,1996.3,41969476,23532584,0,0
1485571792,33,1265.7,41969476,23436868,0,0
1485571793,45,2000.8,43034004,24456048,0,0
1485571794,45,2004.2,43034004,24456048,0,0
1485571795,45,2001.3,43034004,24456048,0,0
1485571796,45,2002.8,43034004,24456048,0,0
1485571797,45,2002.3,43034004,24456048,0,0
1485571798,45,2001.1,43034004,24456048,0,0
1485571799,45,2000.4,43034004,24456048,0,0
1485571800,45,2002.4,43034004,24456048,0,0
1485571801,42,1868.6,42851916,24272860,0,0
1485571802,26,199.6,42016164,23437108,0,0
1485571803,25,850.5,41969476,23390404,0,0
1485571804,25,1070.0,41967424,23390396,0,0
1485571805,25,321.4,41967424,23390396,0,0
1485571806,30,1866.7,41969476,23407624,0,0
1485571807,45,1902.5,41969476,23748708,0,0
1485571808,25,545.0,41967424,23390396,0,0
1485571809,28,656.8,41967424,23390396,0,0
1485571810,25,99.8,41967424,23390416,0,0
1485571811,25,99.8,41967424,23390416,0,0
1485571812,25,99.8,41967424,23390416,0,0
1485571813,45,1986.0,41969476,23805816,0,0
1485571814,45,1987.0,41969476,23587692,0,0
1485571815,45,2002.2,42799264,24220212,0,0
1485571816,45,2000.5,42799264,24220212,0,0
1485571817,45,2002.3,42799264,24220212,0,0
1485571818,45,2000.2,42799264,24220212,0,0
1485571819,45,2002.2,42011748,23490528,0,0
1485571820,45,1994.3,41969476,23785124,0,0
1485571821,45,1988.4,42334756,23903152,0,0
1485571822,45,1998.4,43187076,24608024,0,0
1485571823,45,2002.4,43187076,24608024,0,0
1485571824,45,2002.3,43187076,24608024,0,0
1485571825,45,1996.7,43187076,24608024,0,0
1485571826,45,1998.4,43187076,24608024,0,0
1485571827,45,2000.7,43187076,24608024,0,0
1485571828,45,2001.4,43187076,24608024,0,0
1485571829,45,2000.3,43187076,24608024,0,0
1485571830,45,2000.3,43187076,24608024,0,0
1485571831,45,2000.3,43187076,24608024,0,0
1485571832,45,2000.4,43187076,24608024,0,0
1485571833,45,2000.4,43187076,24608024,0,0
1485571834,45,2000.7,43187076,24608024,0,0
1485571835,45,1998.4,43187076,24608024,0,0
1485571836,45,2000.3,43187076,24608024,0,0
1485571837,45,2000.4,43187076,24608024,0,0
1485571838,45,2000.4,43126196,24566340,0,0
1485571839,45,1998.2,42821796,24342644,0,0
1485571840,45,1999.9,42007836,23614772,0,0
1485571841,45,2002.8,42207456,23924700,0,0
1485571842,45,2000.6,42207456,23670444,0,0
1485571843,45,2002.3,42799264,24220212,0,0
1485571844,45,2000.3,42760904,24200816,0,0
1485571845,45,2000.1,42561284,24012460,0,0
1485571846,44,1902.5,42561284,24080952,0,0
1485571847,41,1824.7,41969476,23532120,0,0
1485571848,39,1401.4,41969476,23683136,0,0
1485571849,33,1373.5,41969476,23422676,0,0
1485571850,45,1991.0,41969476,23804196,0,0
1485571851,45,2000.3,41969476,23701120,0,0
1485571852,45,1962.4,42797612,24218596,0,0
1485571853,45,2000.6,42797612,24218596,0,0
1485571854,45,2002.9,42797612,24218596,0,0
1485571855,45,2001.5,42797612,24218596,0,0
1485571856,45,2000.4,42560108,24029592,0,0
1485571857,45,1996.4,41969476,23800856,0,0
1485571858,45,1996.9,42030476,23552176,0,0
1485571859,45,1994.6,43189476,24610460,0,0
1485571860,45,2000.2,43189476,24610460,0,0
1485571861,45,2001.5,43189476,24610460,0,0
1485571862,45,2003.0,43189476,24610460,0,0
1485571863,45,2002.9,43189476,24610460,0,0
1485571864,45,2000.2,43189476,24610460,0,0
1485571865,45,2002.3,43189476,24610460,0,0
1485571866,45,2000.3,43189476,24610460,0,0
1485571867,45,2000.8,43189476,24610460,0,0
1485571868,45,2001.3,43189476,24610460,0,0
1485571869,45,2001.2,43189476,24610460,0,0
1485571870,45,1996.4,43189476,24610460,0,0
1485571871,45,2000.2,43189476,24610460,0,0
1485571872,45,2000.5,43189476,24610460,0,0
1485571873,45,2002.1,43189476,24610460,0,0
1485571874,45,2002.3,43189476,24610460,0,0
1485571875,45,2004.3,43128476,24568424,0,0
1485571876,45,2001.7,42823476,24310068,0,0
1485571877,45,2003.2,42373608,23900540,0,0
1485571878,45,1996.8,42206048,23919744,0,0
1485571879,45,2000.9,42206048,23761460,0,0
1485571880,45,1998.9,42794328,24215312,0,0
1485571881,45,2002.3,42756196,24180448,0,0
1485571882,45,2003.3,42557756,24024036,0,0
1485571883,44,1932.8,42557756,24077460,0,0
1485571884,44,1900.5,42053516,23563556,0,0
1485571885,39,1401.4,41969476,23683172,0,0
1485571886,39,1397.4,41969476,23528164,0,0
1485571887,25,99.8,41967424,23390452,0,0
1485571888,25,99.8,41967424,23390452,0,0
1485571889,25,99.8,38842420,20265448,0,0
